,Unnamed: 0,ID,N_pixel,N_pixel_16,N_pixel_17,N_pixel_18,N_pixel_19,N_pixel_20,N_pixel_21,N_pixel_22,P1_16,P1_17,P1_18,P1_19,P1_20,P1_21,P1_22,M7_16,M7_17,M7_18,M7_19,M7_20,M7_21,M7_22,Mb6_16,Mb6_17,Mb6_18,Mb6_19,Mb6_20,Mb6_21,Mb6_22
191,191,293.0,101,20,3,16,0,2,80,10,20,3,16,0,2,80,8,0.0077482285,-0.00023506435,-0.0074373954,0.0,0.0006373541,0.05750441,0.0044083553,0.009826089,-0.00029508737,-0.009786748,0.0,0.0009314964,0.06795589,0.004546702
192,192,294.0,96,0,0,0,9,18,72,30,0,0,0,9,18,72,29,0.0,0.0,0.0,0.002980676,0.007317998,0.045471903,-0.0058196834,0.0,0.0,0.0,0.0041224933,0.0038243493,0.023466973,-0.007975226
193,193,295.0,79,13,33,0,42,6,21,30,13,33,0,42,6,21,30,0.009194886,-0.01934656,0.0,0.040695388,-0.00057360105,0.006997408,0.019963855,0.016333448,-0.025495816,0.0,0.022586692,-0.0020341694,0.0101832375,0.019730275
194,194,296.0,76,1,15,0,2,0,4,16,1,15,0,2,0,4,15,-0.000510676,-0.007704401,0.0,0.0006609331,0.0,0.0019808454,0.0089419205,-0.00079438137,-0.012131102,0.0,0.001077003,0.0,0.0036701958,0.01291842
195,195,297.0,143,68,37,1,4,0,0,0,68,37,1,4,0,0,0,0.034391455,-0.014671227,-0.00036986155,0.0011134866,0.0,0.0,0.0,0.048784945,-0.01791053,-0.00054387114,0.0016050176,0.0,0.0,0.0
196,196,810.0,178,9,16,114,56,18,21,22,9,16,114,56,18,21,0,0.0026687547,-0.0037687654,0.07887628,0.046467036,-0.013987519,-0.0047022686,0.0,0.0035211246,-0.005435294,0.0829355,0.040287152,-0.01233184,-0.004202787,0.0
197,197,809.0,74,6,8,62,11,2,2,2,6,8,62,11,2,2,0,0.004121177,0.0034213515,0.08217831,0.0141809285,-0.0021932796,0.0031881854,0.0,0.0065182573,0.0025872495,0.09197479,0.015287088,-0.002165274,0.0033967867,0.0
198,198,300.0,89,0,20,16,10,6,0,6,0,20,16,10,6,0,0,0.0,-0.01475132,-0.016005237,0.0012695958,0.0034469536,0.0,0.0,0.0,-0.016503252,-0.018499747,-0.001924802,0.0029213382,0.0,0.0
199,199,814.0,41,0,0,27,12,4,8,11,0,0,27,12,4,8,6,0.0,0.0,0.056874778,0.016138902,-0.00400758,-0.0040552053,0.00795686,0.0,0.0,0.09166559,0.022958307,-0.0042358963,-0.004610324,0.010725344
200,200,307.0,75,0,0,0,0,35,21,3,0,0,0,0,35,21,3,0.0,0.0,0.0,0.0,0.016906016,0.008694563,0.0014820888,0.0,0.0,0.0,0.0,0.028039927,0.014512698,0.0024048728
201,201,1332.0,36,4,0,0,0,15,4,15,4,0,0,0,15,4,13,0.0046833996,0.0,0.0,0.0,0.028258527,0.004020831,-0.0145503525,0.009532507,0.0,0.0,0.0,0.03827745,0.0060927765,-0.01853841
202,202,820.0,49,1,0,7,45,2,26,14,1,0,7,45,2,26,0,-0.0016359532,0.0,0.008669885,0.11799566,-0.0078017297,0.05763398,0.0,-0.001987067,0.0,0.016504278,0.11814491,-0.0067328024,0.04877102,0.0
203,203,823.0,43,21,8,16,9,11,30,16,21,8,16,9,11,30,2,0.042652752,0.00061650056,-0.012912821,0.0176725,0.025778772,0.121779345,0.0052950215,0.061097223,0.003323444,-0.017549902,0.020793,0.034069918,0.1288137,0.0051258854
204,204,828.0,34,2,1,0,5,22,11,12,2,1,0,5,22,11,4,0.003826347,0.0020027254,0.0,0.011538856,0.048610676,0.03228215,-0.012527509,0.0046624183,0.002731469,0.0,0.010811731,0.056319825,0.037763625,-0.0141157
205,205,829.0,53,0,9,5,33,0,21,11,0,9,5,33,0,21,2,0.0,0.007811172,0.0075470554,0.10872907,0.0,-0.003468589,-0.0019651526,0.0,0.0077039814,0.007139373,0.0998263,0.0,-0.0026391768,-0.0027247586
206,206,834.0,91,64,2,34,44,2,10,1,64,2,34,44,2,10,1,0.0610497,0.0011950065,0.022361588,0.08355953,-0.0013135384,0.009744839,0.0012451413,0.09828353,0.0020576166,0.025229419,0.07929085,-0.0012219094,0.010192399,0.0011058841
207,207,835.0,69,0,0,10,28,0,67,7,0,0,10,28,0,67,0,0.0,0.0,0.0036806467,0.01228626,0.0,0.048153006,0.0,0.0,0.0,0.005705219,0.015670814,0.0,0.08540415,0.0
208,208,326.0,116,82,1,0,49,1,0,1,82,1,0,49,1,0,1,0.067407995,0.0005479768,0.0,0.032309264,0.000496899,0.0,-0.0005846192,0.08223628,0.00082663837,0.0,0.030138832,0.00045631107,0.0,-0.00082152826
209,209,327.0,77,36,22,2,1,0,0,1,36,22,2,1,0,0,0,0.031249095,0.013189727,0.00089996407,0.00076049264,0.0,0.0,0.0,0.041165363,0.021601686,0.0016389258,0.0008144845,0.0,0.0,0.0
210,210,337.0,75,0,0,0,0,0,55,16,0,0,0,0,0,55,16,0.0,0.0,0.0,0.0,0.0,0.06768166,0.015902827,0.0,0.0,0.0,0.0,0.0,0.09885362,0.020954924
211,211,851.0,56,0,0,0,0,48,4,12,0,0,0,0,48,4,6,0.0,0.0,0.0,0.0,0.04793646,0.005557845,0.004166504,0.0,0.0,0.0,0.0,0.08202258,0.007336236,0.0056867553
212,212,344.0,29,1,0,2,27,2,1,2,1,0,2,27,2,1,2,-0.006416253,0.0,0.0033739426,0.061543327,-0.0048452686,0.0018358048,-0.0033225745,-0.0073280367,0.0,0.0046321237,0.085872084,-0.0073090196,0.0026517916,-0.0042925416
